peak_x,peak_y,check,peak_h,peak_name,prominence,col_x,col_y,col_h,parent_x,parent_y,parent_h,parent_name,remark
121.1081,24.4783,24.4783 121.1081,2474,榛山,380,121.1042,24.4894,2094,121.2319,24.3831,3878,雪山,0
121.3867,23.8842,23.8842 121.3867,2003,,379,121.3869,23.8947,1624,120.95728,23.47,3952,玉山,1
121.3097,24.2586,24.2586 121.3097,3160,閂山,378,121.3272,24.2589,2782,121.4392,24.3619,3735,南湖大山,0
120.8086,23.5358,23.5358 120.8086,2650,大塔山,377,120.8303,23.4842,2273,120.95728,23.47,3952,玉山,0
121.2578,24.4575,24.4575 121.2578,3475,大霸尖山,374,121.2608,24.4506,3101,121.2319,24.3831,3878,雪山,0
121.2983,24.7308,24.7308 121.2983,1753,烏嘴山,374,121.3081,24.7189,1379,120.95728,23.47,3952,玉山,0
120.8292,24.0747,24.0747 120.8292,1202,大橫屏山,374,120.8850,24.1389,828,120.95728,23.47,3952,玉山,0
121.4456,24.1244,24.1244 121.4456,3066,立霧主山,373,121.4606,24.1181,2693,121.4664,24.0992,3094,帕托魯山,0
120.6764,22.8569,22.8569 120.6764,1422,尾寮山,372,120.6981,22.8728,1050,120.95728,23.47,3952,玉山,0
120.6231,22.9778,22.9778 120.6231,819,大貢占山,371,120.6211,23.0072,448,120.95728,23.47,3952,玉山,0
121.0533,23.9694,23.9694 121.0533,1671,,368,121.0286,23.9272,1303,120.9722,23.8394,2121,,1
121.2622,22.9603,22.9603 121.2622,910,跋都山,361,121.2531,22.9494,549,121.1881,22.8950,1188,都蘭山,0
121.2194,24.5003,24.5003 121.2194,2912,,359,121.2333,24.4872,2553,121.2319,24.3831,3878,雪山,1
121.4528,23.5425,23.5425 121.4528,693,新瑞山,356,121.4633,23.5428,337,121.4889,23.5447,913,八里灣,0
120.8761,23.1514,23.1514 120.8761,3237,小關山,353,120.9069,23.1956,2884,120.9117,23.2269,3656,關山P,0
121.0122,24.5106,24.5106 121.0122,2202,加里山,353,121.0308,24.4922,1849,120.95728,23.47,3952,玉山,0
120.8344,23.0825,23.0825 120.8344,2845,,353,120.8428,23.0781,2492,120.95728,23.47,3952,玉山,1
121.2133,23.6003,23.6003 121.2133,3319,丹大山,350,121.1603,23.5869,2969,121.0919,23.6267,3607,東郡大山,0
121.1389,23.8761,23.8761 121.1389,3275,干卓萬山,349,121.1514,23.8558,2926,121.1158,23.8344,3359,卓社大山,0
120.9642,23.6467,23.6467 120.9642,3052,清水山,349,120.9672,23.6131,2703,120.9628,23.5772,3270,郡大山-2,0
120.7097,23.3072,23.3072 120.7097,1590,卓武山,348,120.7147,23.3167,1242,120.95728,23.47,3952,玉山,0
121.5519,23.8253,23.8253 121.5519,611,月眉山,348,121.5167,23.7419,263,121.4889,23.5447,913,八里灣,2
120.8292,22.9211,22.9211 120.8292,2511,,345,120.8336,22.9136,2166,120.8333,22.8997,2549,石穗頭,1
120.2614,22.6417,22.6417 120.2614,355,,343,120.2786,22.6744,12,120.95728,23.47,3952,玉山,1
120.7436,22.4528,22.4528 120.7436,1629,,343,120.7617,22.4561,1286,120.7514,22.4075,1687,,1
120.8544,22.6431,22.6431 120.8544,1566,,342,120.8408,22.6458,1224,120.95728,23.47,3952,玉山,1
121.0703,23.0669,23.0669 121.0703,2196,,341,121.0531,23.0706,1855,120.95728,23.47,3952,玉山,1
121.6458,24.7392,24.7392 121.6458,816,,341,121.6403,24.7511,475,120.95728,23.47,3952,玉山,1
121.5942,24.7353,24.7353 121.5942,1132,紅紫山,341,121.5822,24.7208,791,120.95728,23.47,3952,玉山,0
120.8889,23.3533,23.3533 120.8889,2857,魔界腕,339,120.9142,23.4064,2518,120.95728,23.47,3952,玉山,0
120.9950,23.8586,23.8586 120.9950,2013,大尖山,339,120.9897,23.8389,1674,120.9722,23.8394,2121,,0
121.2750,23.9078,23.9078 121.2750,3105,白石山,338,121.2747,23.9247,2767,121.2778,23.9656,3341,能高南峰,0
121.4231,24.7617,24.7617 121.4231,1899,魯培山,336,121.4303,24.7447,1563,121.4497,24.7050,2131,,0
120.9008,22.8042,22.8042 120.9008,2398,王霸邊浦,335,120.8711,22.8158,2063,120.95728,23.47,3952,玉山,0
121.0100,23.8706,23.8706 121.0100,1807,,334,121.0044,23.8631,1473,120.9722,23.8394,2121,,1
121.1289,23.7572,23.7572 121.1289,2632,,334,121.1483,23.7475,2298,120.95728,23.47,3952,玉山,1
121.7153,24.3639,24.3639 121.7153,1739,,332,121.7189,24.3819,1407,121.6911,24.3908,1854,飯包山,1
120.7950,22.4942,22.4942 120.7950,1924,大里力山,331,120.7686,22.5028,1593,120.95728,23.47,3952,玉山,0
120.7933,22.2578,22.2578 120.7933,926,,331,120.7997,22.2689,595,120.95728,23.47,3952,玉山,1
121.8133,24.9481,24.9481 121.8133,810,灣潭山,330,121.8439,24.9389,480,120.95728,23.47,3952,玉山,0
120.9303,23.0486,23.0486 120.9303,2915,,328,120.9150,23.0367,2587,120.95728,23.47,3952,玉山,1
121.0872,23.0208,23.0208 121.0872,1884,加奈典山,326,121.0758,23.0297,1558,120.95728,23.47,3952,玉山,0
120.8417,22.0678,22.0678 120.8417,512,萬里得山,326,120.8403,22.1028,186,120.95728,23.47,3952,玉山,0
121.3392,23.1919,23.1919 121.3392,1585,,325,121.3239,23.1750,1260,121.3219,23.1397,1676,麻荖漏山-2,1
120.9461,24.1400,24.1400 120.9461,1533,阿冷山,322,120.9603,24.1208,1211,120.95728,23.47,3952,玉山,0
121.0822,23.5908,23.5908 121.0822,3440,儲山,321,121.0900,23.5997,3119,121.0919,23.6267,3607,東郡大山,0
121.0669,23.5206,23.5206 121.0669,3766,馬博拉斯山,321,121.0672,23.5119,3445,121.0572,23.4967,3825,秀姑巒山,0
120.7944,23.4039,23.4039 120.7944,2409,,321,120.8128,23.4156,2088,120.95728,23.47,3952,玉山,1
120.9733,24.2353,24.2353 120.9733,2320,,320,120.9750,24.2450,2000,121.2319,24.3831,3878,雪山,1
120.8003,24.1792,24.1792 120.8003,852,頭嵙山,319,120.8178,24.1622,533,120.95728,23.47,3952,玉山,0
120.7978,22.5525,22.5525 120.7978,2058,,318,120.7853,22.5617,1740,120.7614,22.6269,3077,北大武山,1
121.7233,24.4911,24.4911 121.7233,1689,,314,121.7019,24.4908,1375,120.95728,23.47,3952,玉山,1
121.3544,24.3467,24.3467 121.3544,2825,平岩山,314,121.3928,24.3761,2511,121.4392,24.3619,3735,南湖大山,0
120.7439,23.0344,23.0344 120.7439,1683,見付,313,120.7328,23.0247,1370,120.7225,23.0081,1890,榆油山,0
121.1172,23.5217,23.5217 121.1172,3551,馬利加南山,313,121.1025,23.5194,3238,121.0572,23.4967,3825,秀姑巒山,0
121.3028,23.0139,23.0139 121.3028,807,都歷,311,121.3106,23.0422,496,121.3219,23.1397,1676,麻荖漏山-2,0
121.5631,25.2142,25.2142 121.5631,1100,竹子山,310,121.5461,25.1800,790,121.5533,25.1708,1109,七星山,0
120.4325,22.8300,22.8300 120.4325,417,中寮山,310,120.4600,22.8856,107,120.95728,23.47,3952,玉山,0
120.6589,23.3397,23.3397 120.6589,1091,草山(嘉),307,120.6519,23.3575,784,120.95728,23.47,3952,玉山,0
120.5797,22.9667,22.9667 120.5797,659,,306,120.5992,22.9822,353,120.95728,23.47,3952,玉山,1
120.6867,22.4203,22.4203 120.6867,1179,,303,120.7033,22.4172,876,120.95728,23.47,3952,玉山,1
120.6050,23.3956,23.3956 120.6050,1274,頭凍山,303,120.6403,23.3997,971,120.95728,23.47,3952,玉山,0
120.8033,22.0831,22.0831 120.8033,586,四林格山,300,120.8594,22.1856,286,120.95728,23.47,3952,玉山,0
121.1964,23.5794,23.5794 121.1964,3271,內嶺爾山,299,121.1914,23.5983,2972,121.2133,23.6003,3319,丹大山,0
121.5856,22.0100,22.0100 121.5856,476,大森山,299,121.5678,22.0319,177,121.5344,22.0528,543,紅頭山,0
120.8264,23.4719,23.4719 120.8264,2610,,298,120.8461,23.4731,2312,120.95728,23.47,3952,玉山,1
120.5250,23.1125,23.1125 120.5250,634,糖子恩山,297,120.5397,23.1164,337,120.95728,23.47,3952,玉山,0
121.2597,23.9914,23.9914 121.2597,3249,能高山P,296,121.2667,23.9753,2953,121.2778,23.9656,3341,能高南峰,0
120.9983,23.3911,23.3911 120.9983,3263,轆轆山,295,120.9981,23.3806,2968,120.9758,23.3536,3559,雲峰,0
120.9072,24.3214,24.3214 120.9072,1232,大克山,295,120.9061,24.3314,937,120.95728,23.47,3952,玉山,0
