No, 山名, 別名,  等級, 編號, 高度(M),位置,x67,y67,備註
58,大庄越山,, 補3,IC406,953, 花蓮縣富里鄉、台東縣長濱鄉,285811, 2571064, 原點 3-5048 286100 2571618
59, 馬加祿山,, 3, 5045, 255, 花蓮縣富里鄉, 278609, 2570869 
60 ,烏石鼻山,, 3, 834 ,159, 台東縣成功鎮 ,290541, 2570817 
61, 萬人山 ,六十石山, 2 ,1202 ,886, 花蓮縣富里鄉, 281584, 2570273
62 ,石寧山,, 2 ,1205 ,147, 台東縣長濱鄉 ,291128, 2569221,3-793 291130 2569215
63, 沙汝灣山,, 3, 698, 136, 台東縣成功鎮 ,289626, 2568905
64 ,北都威山,, 3,739 ,145, 台東縣成功鎮, 289052, 2567462 
65, 都威,, 3,705, 42, 台東縣成功鎮 ,289556, 2566607,有移位
66, 都威山,, 3 ,759, 205, 台東縣成功鎮, 288431, 2566470 
67 ,成廣澳山 ,,1,,  1598,花蓮縣富里鄉、台東縣成功鎮, 283802, 2565613, 12峰
68,安土堀山, 安通堀山 ,3 ,5047 ,910, 花蓮縣富里鄉 ,279891 ,2565537
69, 開眼山,,3,5038,  1053,台東縣成功鎮,286725, 2563619
70, 微沙鹿山, 美沙鹿山, 3 ,4263, 222, 台東縣成功鎮, 289099, 2561429, 另有一圖根點
71, 脹脹埔山,, 3, 748, 409, 花蓮縣富里鄉 ,275055, 2560793
72, 麻荖漏山, 新港山, 1 ,,1682 ,花蓮縣富里鄉、台東縣成功鎮, 282171, 2559993, 12峰 基石破損
73, 西白守蓮山,, 3, 721, 210, 台東縣成功鎮 ,287964, 2558738 
74, 大坡山, 公頂山, 3, 733, 390, 台東縣池上鄉, 273451, 2558585
75, 三仙台,,1,,8, 台東縣成功鎮,291817, 2558402
76,麒麟山, 新港山, 2, 1146, 1544, 花蓮縣富里鄉、台東縣成功鎮, 282131, 2557570
77, 北新港山, 新港下山, 3, 763, 190, 台東縣成功鎮, 287294, 2557135 
78, 堵開埔山, 鱉溪山, 3, 4264, 990, 花蓮縣富里鄉、台東縣池上鄉, 276548, 2557026
79,南成功,, 3,730, 69, 台東縣成功鎮三民國小內, 287158 ,25555831
80, 萬安山,, 3, 4230 ,338, 台東縣池上鄉 ,271964, 2555223 
81 ,前麒麟山,, 3, 662, 216, 台東縣成功鎮 ,284939, 2554444 
82, 跋便,,3,669,27,台東縣成功鎮, 285590, 2552770  
83, 加只來山, 嘉平山, 3 ,4212,1016, 台東縣成功鎮, 281881, 2552597
84 ,新開園越山, 富興山, 3, 4232, 1023 ,台東縣池上鄉、東河鄉 ,274484, 2552371,12峰 
